#eta,sqrt(ADC),correction
0.012500,92.750000,0.046986
0.012500,93.250000,0.046986
0.012500,93.750000,0.046986
0.012500,94.250000,0.046986
0.012500,94.750000,0.046986
0.012500,95.250000,0.046986
0.012500,95.750000,0.046986
0.012500,96.250000,0.046986
0.012500,96.750000,0.046986
0.012500,97.250000,0.046986
0.012500,97.750000,0.046986
0.012500,98.250000,0.046986
0.012500,98.750000,0.046986
0.012500,99.250000,0.046986
0.012500,99.750000,0.046986
0.012500,100.250000,0.046986
0.012500,100.750000,0.046986
0.012500,101.250000,0.046986
0.012500,101.750000,0.046986
0.012500,102.250000,0.046986
0.012500,102.750000,0.046986
0.012500,103.250000,0.046986
0.012500,103.750000,0.046986
0.012500,104.250000,0.046986
0.012500,104.750000,0.046986
0.012500,105.250000,0.046986
0.012500,105.750000,0.046986
0.012500,106.250000,0.046986
0.012500,106.750000,0.046986
0.012500,107.250000,0.046986
0.012500,107.750000,0.046986
0.012500,108.250000,0.046986
0.012500,108.750000,0.046986
0.012500,109.250000,0.046986
0.012500,109.750000,0.046986
0.012500,110.250000,0.046986
0.012500,110.750000,0.046986
0.012500,111.250000,0.046986
0.012500,111.750000,0.046986
0.012500,112.250000,0.046986
0.012500,112.750000,0.046986
0.012500,113.250000,0.046986
0.012500,113.750000,0.046986
0.012500,114.250000,0.046986
0.012500,114.750000,0.046986
0.012500,115.250000,0.046986
0.012500,115.750000,0.046986
0.012500,116.250000,0.046986
0.012500,116.750000,0.046986
0.012500,117.250000,0.046986
0.012500,117.750000,0.046986
0.012500,118.250000,0.046986
0.012500,118.750000,0.046986
0.012500,119.250000,0.046986
0.012500,119.750000,0.046986
0.012500,120.250000,0.046986
0.012500,120.750000,0.046986
0.012500,121.250000,0.046986
0.012500,121.750000,0.046986
0.012500,122.250000,0.046986
0.012500,122.750000,0.046986
0.012500,123.250000,0.046986
0.012500,123.750000,0.046986
0.012500,124.250000,0.046986
0.012500,124.750000,0.046986
0.012500,125.250000,0.046986
0.012500,125.750000,0.046986
0.012500,126.250000,0.046986
0.012500,126.750000,0.046986
0.012500,127.250000,0.046986
0.012500,127.750000,0.046986
0.012500,128.250000,0.046986
0.012500,128.750000,0.046986
0.012500,129.250000,0.046986
0.012500,129.750000,0.046986
0.012500,130.250000,0.046986
0.012500,130.750000,0.046986
0.012500,131.250000,0.046986
0.012500,131.750000,0.046986
0.012500,132.250000,0.046986
0.012500,132.750000,0.046986
0.012500,133.250000,0.046986
0.012500,133.750000,0.046986
0.012500,134.250000,0.046986
0.012500,134.750000,0.046986
0.012500,135.250000,0.046986
0.012500,135.750000,0.046986
0.012500,136.250000,0.046986
0.012500,136.750000,0.046986
0.012500,137.250000,0.046986
0.012500,137.750000,0.046986
0.012500,138.250000,0.046986
0.012500,138.750000,0.046986
0.012500,139.250000,0.046986
0.012500,139.750000,0.046986
0.012500,140.250000,0.046986
0.012500,140.750000,0.046986
0.012500,141.250000,0.046986
0.012500,141.750000,0.046986
0.012500,142.250000,0.046986
0.012500,142.750000,0.046986
0.012500,143.250000,0.046986
0.012500,143.750000,0.046986
0.012500,144.250000,0.046986
0.012500,144.750000,0.046986
0.012500,145.250000,0.046986
0.012500,145.750000,0.046986
0.012500,146.250000,0.046986
0.012500,146.750000,0.046986
0.012500,147.250000,0.046986
0.012500,147.750000,0.046986
0.012500,148.250000,0.046986
0.012500,148.750000,0.046986
0.012500,149.250000,0.046986
0.012500,149.750000,0.046986
0.037500,0.250000,0.039928
0.037500,0.750000,0.039928
0.037500,1.250000,0.039928
0.037500,1.750000,0.039928
0.037500,2.250000,0.039928
0.037500,2.750000,0.039928
0.037500,3.250000,0.039928
0.037500,3.750000,0.039928
0.037500,4.250000,0.039928
0.037500,4.750000,0.039928
0.037500,5.250000,0.039928
0.037500,5.750000,0.039928
0.037500,6.250000,0.039928
0.037500,6.750000,0.040187
0.037500,7.250000,0.040568
0.037500,7.750000,0.040948
0.037500,8.250000,0.041329
0.037500,8.750000,0.041709
0.037500,9.250000,0.042090
0.037500,9.750000,0.042294
0.037500,10.250000,0.042485
0.037500,10.750000,0.042676
0.037500,11.250000,0.042867
0.037500,11.750000,0.043059
0.037500,12.250000,0.043250
0.037500,12.750000,0.043414
0.037500,13.250000,0.043556
0.037500,13.750000,0.043697
0.037500,14.250000,0.043839
0.037500,14.750000,0.043892
0.037500,15.250000,0.043908
0.037500,15.750000,0.043933
0.037500,16.250000,0.043969
0.037500,16.750000,0.044005
0.037500,17.250000,0.044041
0.037500,17.750000,0.044077
0.037500,18.250000,0.044114
0.037500,18.750000,0.044150
0.037500,19.250000,0.044151
0.037500,19.750000,0.044146
0.037500,20.250000,0.044140
0.037500,20.750000,0.044135
0.037500,21.250000,0.044117
0.037500,21.750000,0.044091
0.037500,22.250000,0.044069
0.037500,22.750000,0.044058
0.037500,23.250000,0.044048
0.037500,23.750000,0.044038
0.037500,24.250000,0.044028
0.037500,24.750000,0.044018
0.037500,25.250000,0.044008
0.037500,25.750000,0.043995
0.037500,26.250000,0.043977
0.037500,26.750000,0.043959
0.037500,27.250000,0.043941
0.037500,27.750000,0.043919
0.037500,28.250000,0.043869
0.037500,28.750000,0.043819
0.037500,29.250000,0.043782
0.037500,29.750000,0.043748
0.037500,30.250000,0.043713
0.037500,30.750000,0.043679
0.037500,31.250000,0.043645
0.037500,31.750000,0.043610
0.037500,32.250000,0.043576
0.037500,32.750000,0.043614
0.037500,33.250000,0.043664
0.037500,33.750000,0.043714
0.037500,34.250000,0.043764
0.037500,34.750000,0.043780
0.037500,35.250000,0.043777
0.037500,35.750000,0.043780
0.037500,36.250000,0.043793
0.037500,36.750000,0.043806
0.037500,37.250000,0.043819
0.037500,37.750000,0.043833
0.037500,38.250000,0.043846
0.037500,38.750000,0.043859
0.037500,39.250000,0.043882
0.037500,39.750000,0.043923
0.037500,40.250000,0.043965
0.037500,40.750000,0.044006
0.037500,41.250000,0.044044
0.037500,41.750000,0.044067
0.037500,42.250000,0.044091
0.037500,42.750000,0.044128
0.037500,43.250000,0.044165
0.037500,43.750000,0.044203
0.037500,44.250000,0.044240
0.037500,44.750000,0.044278
0.037500,45.250000,0.044315
0.037500,45.750000,0.044495
0.037500,46.250000,0.044742
0.037500,46.750000,0.044990
0.037500,47.250000,0.045238
0.037500,47.750000,0.045650
0.037500,48.250000,0.046461
0.037500,48.750000,0.047272
0.037500,49.250000,0.047400
0.037500,49.750000,0.047400
0.037500,50.250000,0.047400
0.037500,50.750000,0.047400
0.037500,51.250000,0.047400
0.037500,51.750000,0.047400
0.037500,52.250000,0.047400
0.037500,52.750000,0.047400
0.037500,53.250000,0.047400
0.037500,53.750000,0.047400
0.037500,54.250000,0.047400
0.037500,54.750000,0.047400
0.037500,55.250000,0.047400
0.037500,55.750000,0.047400
0.037500,56.250000,0.047400
0.037500,56.750000,0.047400
0.037500,57.250000,0.047400
0.037500,57.750000,0.047400
0.037500,58.250000,0.047400
0.037500,58.750000,0.047400
0.037500,59.250000,0.047400
0.037500,59.750000,0.047400
0.037500,60.250000,0.047400
0.037500,60.750000,0.047400
0.037500,61.250000,0.047400
0.037500,61.750000,0.047400
0.037500,62.250000,0.047400
0.037500,62.750000,0.047400
0.037500,63.250000,0.047400
0.037500,63.750000,0.047400
0.037500,64.250000,0.047400
0.037500,64.750000,0.047400
0.037500,65.250000,0.047400
0.037500,65.750000,0.047400
0.037500,66.250000,0.047400
0.037500,66.750000,0.047400
0.037500,67.250000,0.047400
0.037500,67.750000,0.047400
0.037500,68.250000,0.047400
0.037500,68.750000,0.047400
0.037500,69.250000,0.047400
0.037500,69.750000,0.047400
0.037500,70.250000,0.047400
0.037500,70.750000,0.047400
0.037500,71.250000,0.047400
0.037500,71.750000,0.047400
0.037500,72.250000,0.047400
0.037500,72.750000,0.047400
0.037500,73.250000,0.047400
0.037500,73.750000,0.047400
0.037500,74.250000,0.047400
0.037500,74.750000,0.047400
0.037500,75.250000,0.047400
0.037500,75.750000,0.047400
0.037500,76.250000,0.047400
0.037500,76.750000,0.047400
0.037500,77.250000,0.047400
0.037500,77.750000,0.047400
0.037500,78.250000,0.047400
0.037500,78.750000,0.047400
0.037500,79.250000,0.047400
0.037500,79.750000,0.047400
0.037500,80.250000,0.047400
0.037500,80.750000,0.047400
0.037500,81.250000,0.047400
0.037500,81.750000,0.047400
